run,cohort,feature_id,rank
topk_bootstrap_000_l12_k20,bootstrap,13407,1
topk_bootstrap_000_l12_k20,bootstrap,5258,2
topk_bootstrap_000_l12_k20,bootstrap,56,3
topk_bootstrap_000_l12_k20,bootstrap,10708,4
topk_bootstrap_000_l12_k20,bootstrap,4814,5
topk_bootstrap_000_l12_k20,bootstrap,15188,6
topk_bootstrap_000_l12_k20,bootstrap,10213,7
topk_bootstrap_000_l12_k20,bootstrap,8605,8
topk_bootstrap_000_l12_k20,bootstrap,4374,9
topk_bootstrap_000_l12_k20,bootstrap,14956,10
topk_bootstrap_000_l12_k20,bootstrap,15743,11
topk_bootstrap_000_l12_k20,bootstrap,6183,12
topk_bootstrap_000_l12_k20,bootstrap,499,13
topk_bootstrap_000_l12_k20,bootstrap,10788,14
topk_bootstrap_000_l12_k20,bootstrap,8424,15
topk_bootstrap_000_l12_k20,bootstrap,15914,16
topk_bootstrap_000_l12_k20,bootstrap,12329,17
topk_bootstrap_000_l12_k20,bootstrap,12901,18
topk_bootstrap_000_l12_k20,bootstrap,924,19
topk_bootstrap_000_l12_k20,bootstrap,1704,20
topk_bootstrap_001_l12_k20,bootstrap,13407,1
topk_bootstrap_001_l12_k20,bootstrap,5258,2
topk_bootstrap_001_l12_k20,bootstrap,7314,3
topk_bootstrap_001_l12_k20,bootstrap,499,4
topk_bootstrap_001_l12_k20,bootstrap,15188,5
topk_bootstrap_001_l12_k20,bootstrap,14956,6
topk_bootstrap_001_l12_k20,bootstrap,8605,7
topk_bootstrap_001_l12_k20,bootstrap,10708,8
topk_bootstrap_001_l12_k20,bootstrap,10213,9
topk_bootstrap_001_l12_k20,bootstrap,15473,10
topk_bootstrap_001_l12_k20,bootstrap,4424,11
topk_bootstrap_001_l12_k20,bootstrap,56,12
topk_bootstrap_001_l12_k20,bootstrap,4374,13
topk_bootstrap_001_l12_k20,bootstrap,6594,14
topk_bootstrap_001_l12_k20,bootstrap,6412,15
topk_bootstrap_001_l12_k20,bootstrap,5718,16
topk_bootstrap_001_l12_k20,bootstrap,12329,17
topk_bootstrap_001_l12_k20,bootstrap,9681,18
topk_bootstrap_001_l12_k20,bootstrap,14781,19
topk_bootstrap_001_l12_k20,bootstrap,15743,20
topk_bootstrap_002_l12_k20,bootstrap,13407,1
topk_bootstrap_002_l12_k20,bootstrap,56,2
topk_bootstrap_002_l12_k20,bootstrap,499,3
topk_bootstrap_002_l12_k20,bootstrap,8605,4
topk_bootstrap_002_l12_k20,bootstrap,15188,5
topk_bootstrap_002_l12_k20,bootstrap,6183,6
topk_bootstrap_002_l12_k20,bootstrap,924,7
topk_bootstrap_002_l12_k20,bootstrap,10708,8
topk_bootstrap_002_l12_k20,bootstrap,4814,9
topk_bootstrap_002_l12_k20,bootstrap,15743,10
topk_bootstrap_002_l12_k20,bootstrap,5258,11
topk_bootstrap_002_l12_k20,bootstrap,9681,12
topk_bootstrap_002_l12_k20,bootstrap,7314,13
topk_bootstrap_002_l12_k20,bootstrap,5718,14
topk_bootstrap_002_l12_k20,bootstrap,14956,15
topk_bootstrap_002_l12_k20,bootstrap,11541,16
topk_bootstrap_002_l12_k20,bootstrap,14300,17
topk_bootstrap_002_l12_k20,bootstrap,13492,18
topk_bootstrap_002_l12_k20,bootstrap,5764,19
topk_bootstrap_002_l12_k20,bootstrap,11243,20
topk_bootstrap_003_l12_k20,bootstrap,13407,1
topk_bootstrap_003_l12_k20,bootstrap,56,2
topk_bootstrap_003_l12_k20,bootstrap,6183,3
topk_bootstrap_003_l12_k20,bootstrap,4814,4
topk_bootstrap_003_l12_k20,bootstrap,8605,5
topk_bootstrap_003_l12_k20,bootstrap,15188,6
topk_bootstrap_003_l12_k20,bootstrap,10708,7
topk_bootstrap_003_l12_k20,bootstrap,15560,8
topk_bootstrap_003_l12_k20,bootstrap,12329,9
topk_bootstrap_003_l12_k20,bootstrap,4374,10
topk_bootstrap_003_l12_k20,bootstrap,10213,11
topk_bootstrap_003_l12_k20,bootstrap,499,12
topk_bootstrap_003_l12_k20,bootstrap,14956,13
topk_bootstrap_003_l12_k20,bootstrap,13492,14
topk_bootstrap_003_l12_k20,bootstrap,15914,15
topk_bootstrap_003_l12_k20,bootstrap,11541,16
topk_bootstrap_003_l12_k20,bootstrap,1986,17
topk_bootstrap_003_l12_k20,bootstrap,16266,18
topk_bootstrap_003_l12_k20,bootstrap,780,19
topk_bootstrap_003_l12_k20,bootstrap,15777,20
topk_scale_0p5_l12_k20,scale,13407,1
topk_scale_0p5_l12_k20,scale,4814,2
topk_scale_0p5_l12_k20,scale,56,3
topk_scale_0p5_l12_k20,scale,499,4
topk_scale_0p5_l12_k20,scale,10708,5
topk_scale_0p5_l12_k20,scale,6183,6
topk_scale_0p5_l12_k20,scale,14956,7
topk_scale_0p5_l12_k20,scale,4424,8
topk_scale_0p5_l12_k20,scale,7314,9
topk_scale_0p5_l12_k20,scale,924,10
topk_scale_0p5_l12_k20,scale,12329,11
topk_scale_0p5_l12_k20,scale,5058,12
topk_scale_0p5_l12_k20,scale,8605,13
topk_scale_0p5_l12_k20,scale,12937,14
topk_scale_0p5_l12_k20,scale,15188,15
topk_scale_0p5_l12_k20,scale,11663,16
topk_scale_0p5_l12_k20,scale,780,17
topk_scale_0p5_l12_k20,scale,4374,18
topk_scale_0p5_l12_k20,scale,13492,19
topk_scale_0p5_l12_k20,scale,1704,20
topk_scale_1p0_l12_k20,scale,13407,1
topk_scale_1p0_l12_k20,scale,56,2
topk_scale_1p0_l12_k20,scale,499,3
topk_scale_1p0_l12_k20,scale,4814,4
topk_scale_1p0_l12_k20,scale,10708,5
topk_scale_1p0_l12_k20,scale,15560,6
topk_scale_1p0_l12_k20,scale,6183,7
topk_scale_1p0_l12_k20,scale,924,8
topk_scale_1p0_l12_k20,scale,5258,9
topk_scale_1p0_l12_k20,scale,8605,10
topk_scale_1p0_l12_k20,scale,12329,11
topk_scale_1p0_l12_k20,scale,7314,12
topk_scale_1p0_l12_k20,scale,15188,13
topk_scale_1p0_l12_k20,scale,15777,14
topk_scale_1p0_l12_k20,scale,14956,15
topk_scale_1p0_l12_k20,scale,13492,16
topk_scale_1p0_l12_k20,scale,5764,17
topk_scale_1p0_l12_k20,scale,4374,18
topk_scale_1p0_l12_k20,scale,5058,19
topk_scale_1p0_l12_k20,scale,11663,20
topk_scale_2p0_l12_k20,scale,15437,1
topk_scale_2p0_l12_k20,scale,56,2
topk_scale_2p0_l12_k20,scale,13407,3
topk_scale_2p0_l12_k20,scale,15560,4
topk_scale_2p0_l12_k20,scale,499,5
topk_scale_2p0_l12_k20,scale,10708,6
topk_scale_2p0_l12_k20,scale,5258,7
topk_scale_2p0_l12_k20,scale,924,8
topk_scale_2p0_l12_k20,scale,4814,9
topk_scale_2p0_l12_k20,scale,8605,10
topk_scale_2p0_l12_k20,scale,12329,11
topk_scale_2p0_l12_k20,scale,15188,12
topk_scale_2p0_l12_k20,scale,6183,13
topk_scale_2p0_l12_k20,scale,7314,14
topk_scale_2p0_l12_k20,scale,13492,15
topk_scale_2p0_l12_k20,scale,15777,16
topk_scale_2p0_l12_k20,scale,5058,17
topk_scale_2p0_l12_k20,scale,1704,18
topk_scale_2p0_l12_k20,scale,4374,19
topk_scale_2p0_l12_k20,scale,4424,20
topk_split_seed_0_l12_k20,split_seed,13407,1
topk_split_seed_0_l12_k20,split_seed,56,2
topk_split_seed_0_l12_k20,split_seed,499,3
topk_split_seed_0_l12_k20,split_seed,4814,4
topk_split_seed_0_l12_k20,split_seed,10708,5
topk_split_seed_0_l12_k20,split_seed,15560,6
topk_split_seed_0_l12_k20,split_seed,6183,7
