head,layer,pair_id,side,target_to_context_mass
2,3,bank-lex-0,a,0.016012616455554962
7,3,bank-lex-0,a,0.912969708442688
6,3,bank-lex-0,a,0.8605180978775024
3,2,bank-lex-0,a,0.5475252866744995
5,3,bank-lex-0,a,0.8244831562042236
2,3,bank-lex-0,b,0.009088745340704918
7,3,bank-lex-0,b,0.8883541822433472
6,3,bank-lex-0,b,0.919798731803894
3,2,bank-lex-0,b,0.4144372045993805
5,3,bank-lex-0,b,0.8040507435798645
2,3,bank-lex-3,a,0.00941464863717556
7,3,bank-lex-3,a,0.912867546081543
6,3,bank-lex-3,a,0.8667793273925781
3,2,bank-lex-3,a,0.6182118654251099
5,3,bank-lex-3,a,0.8155425786972046
2,3,bank-lex-3,b,0.1334000825881958
7,3,bank-lex-3,b,0.9277513027191162
6,3,bank-lex-3,b,0.9436247944831848
3,2,bank-lex-3,b,0.5054277181625366
5,3,bank-lex-3,b,0.8701831102371216
2,3,bat-lex-1,a,0.005094409920275211
7,3,bat-lex-1,a,0.9023417234420776
6,3,bat-lex-1,a,0.8334531784057617
3,2,bat-lex-1,a,0.2520614266395569
5,3,bat-lex-1,a,0.8305307626724243
2,3,bat-lex-1,b,0.04009014740586281
7,3,bat-lex-1,b,0.7185895442962646
6,3,bat-lex-1,b,0.8868580460548401
3,2,bat-lex-1,b,0.1670142114162445
5,3,bat-lex-1,b,0.9379982948303223
2,3,bat-lex-2,a,0.0056413281708955765
7,3,bat-lex-2,a,0.917155385017395
6,3,bat-lex-2,a,0.9702191948890686
3,2,bat-lex-2,a,0.18388399481773376
5,3,bat-lex-2,a,0.9607865810394287
2,3,bat-lex-2,b,0.021125830709934235
7,3,bat-lex-2,b,0.8196141719818115
6,3,bat-lex-2,b,0.7436851263046265
3,2,bat-lex-2,b,0.11892496794462204
5,3,bat-lex-2,b,0.9137178659439087
2,3,spring-lex-0,a,0.014582043513655663
7,3,spring-lex-0,a,0.9146511554718018
6,3,spring-lex-0,a,0.6969289183616638
3,2,spring-lex-0,a,0.30139264464378357
5,3,spring-lex-0,a,0.953968346118927
2,3,spring-lex-0,b,0.036333635449409485
7,3,spring-lex-0,b,0.9678422808647156
6,3,spring-lex-0,b,0.9518523216247559
3,2,spring-lex-0,b,0.22929365932941437
5,3,spring-lex-0,b,0.920493483543396
2,3,spring-lex-1,a,0.0024054013192653656
7,3,spring-lex-1,a,0.9450555443763733
6,3,spring-lex-1,a,0.9734793305397034
3,2,spring-lex-1,a,0.09435734152793884
5,3,spring-lex-1,a,0.8403434753417969
2,3,spring-lex-1,b,0.0289139524102211
7,3,spring-lex-1,b,0.9133296608924866
6,3,spring-lex-1,b,0.9014010429382324
3,2,spring-lex-1,b,0.25633886456489563
5,3,spring-lex-1,b,0.8661905527114868
2,3,spring-lex-3,a,0.01812959834933281
7,3,spring-lex-3,a,0.9352312684059143
6,3,spring-lex-3,a,0.9695399403572083
3,2,spring-lex-3,a,0.13744017481803894
5,3,spring-lex-3,a,0.8425439596176147
2,3,spring-lex-3,b,0.045595698058605194
7,3,spring-lex-3,b,0.940790057182312
6,3,spring-lex-3,b,0.9217916131019592
3,2,spring-lex-3,b,0.18086817860603333
5,3,spring-lex-3,b,0.7474430203437805
2,3,match-lex-2,a,0.0028306369204074144
7,3,match-lex-2,a,0.9244128465652466
6,3,match-lex-2,a,0.9206593036651611
3,2,match-lex-2,a,0.1332477331161499
5,3,match-lex-2,a,0.833376407623291
2,3,match-lex-2,b,0.006205424666404724
7,3,match-lex-2,b,0.9054721593856812
6,3,match-lex-2,b,0.9640426635742188
3,2,match-lex-2,b,0.1501457244157791
5,3,match-lex-2,b,0.8461629152297974
2,3,pitcher-lex-1,a,0.007658939342945814
7,3,pitcher-lex-1,a,0.9452182650566101
6,3,pitcher-lex-1,a,0.9723410606384277
3,2,pitcher-lex-1,a,0.36194172501564026
5,3,pitcher-lex-1,a,0.812076210975647
2,3,pitcher-lex-1,b,0.03720298781991005
7,3,pitcher-lex-1,b,0.8934289813041687
6,3,pitcher-lex-1,b,0.9062698483467102
3,2,pitcher-lex-1,b,0.4176332354545593
5,3,pitcher-lex-1,b,0.8486493825912476
2,3,pitcher-lex-2,a,0.012371759861707687
7,3,pitcher-lex-2,a,0.8068251609802246
6,3,pitcher-lex-2,a,0.9659756422042847
3,2,pitcher-lex-2,a,0.18657469749450684
5,3,pitcher-lex-2,a,0.8082367777824402
2,3,pitcher-lex-2,b,0.042021654546260834
7,3,pitcher-lex-2,b,0.8899940848350525
6,3,pitcher-lex-2,b,0.9035128355026245
3,2,pitcher-lex-2,b,0.2882302701473236
5,3,pitcher-lex-2,b,0.8539104461669922
2,3,mole-lex-0,a,0.002098172903060913
7,3,mole-lex-0,a,0.946566104888916
6,3,mole-lex-0,a,0.9361197352409363
3,2,mole-lex-0,a,0.5106136798858643
5,3,mole-lex-0,a,0.9174879789352417
2,3,mole-lex-0,b,0.004204504191875458
7,3,mole-lex-0,b,0.8948005437850952
6,3,mole-lex-0,b,0.865656852722168
3,2,mole-lex-0,b,0.4257259666919708
5,3,mole-lex-0,b,0.9158469438552856
2,3,mole-lex-3,a,0.0019026801455765963
7,3,mole-lex-3,a,0.9368571043014526
6,3,mole-lex-3,a,0.9616607427597046
3,2,mole-lex-3,a,0.3561858534812927
5,3,mole-lex-3,a,0.9299778342247009
2,3,mole-lex-3,b,0.0008244632626883686
7,3,mole-lex-3,b,0.9847043752670288
6,3,mole-lex-3,b,0.9620851874351501
3,2,mole-lex-3,b,0.3251440227031708
5,3,mole-lex-3,b,0.8463804721832275
2,3,jam-lex-1,a,0.010147087275981903
7,3,jam-lex-1,a,0.9654961228370667
6,3,jam-lex-1,a,0.7943224906921387
3,2,jam-lex-1,a,0.18298980593681335
5,3,jam-lex-1,a,0.9099581241607666
2,3,jam-lex-1,b,0.011770810931921005
7,3,jam-lex-1,b,0.9790683388710022
6,3,jam-lex-1,b,0.8905767202377319
3,2,jam-lex-1,b,0.12511715292930603
5,3,jam-lex-1,b,0.9565383195877075
2,3,jam-lex-2,a,0.021701574325561523
7,3,jam-lex-2,a,0.9792975187301636
6,3,jam-lex-2,a,0.9139201641082764
3,2,jam-lex-2,a,0.0571347177028656
5,3,jam-lex-2,a,0.9277054071426392
2,3,jam-lex-2,b,0.01718289777636528
7,3,jam-lex-2,b,0.9578224420547485
6,3,jam-lex-2,b,0.656047523021698
3,2,jam-lex-2,b,0.03387695550918579
5,3,jam-lex-2,b,0.8764146566390991
2,3,jam-lex-3,a,0.007250144146382809
7,3,jam-lex-3,a,0.9804679155349731
6,3,jam-lex-3,a,0.8802474141120911
3,2,jam-lex-3,a,0.0643223375082016
5,3,jam-lex-3,a,0.8233924508094788
2,3,jam-lex-3,b,0.010756545700132847
7,3,jam-lex-3,b,0.9712033271789551
6,3,jam-lex-3,b,0.8751300573348999
3,2,jam-lex-3,b,0.03934742137789726
5,3,jam-lex-3,b,0.8948312997817993
2,3,seal-lex-0,a,0.006147895939648151
7,3,seal-lex-0,a,0.928091824054718
6,3,seal-lex-0,a,0.9314917325973511
3,2,seal-lex-0,a,0.42150020599365234
5,3,seal-lex-0,a,0.949394702911377
2,3,seal-lex-0,b,0.005638784728944302
7,3,seal-lex-0,b,0.9441397190093994
6,3,seal-lex-0,b,0.887009859085083
3,2,seal-lex-0,b,0.4467029571533203
5,3,seal-lex-0,b,0.7899783253669739
2,3,seal-lex-2,a,0.008720197714865208
7,3,seal-lex-2,a,0.9602068066596985
6,3,seal-lex-2,a,0.8968573212623596
3,2,seal-lex-2,a,0.2788875699043274
5,3,seal-lex-2,a,0.9608562588691711
2,3,seal-lex-2,b,0.004468823317438364
7,3,seal-lex-2,b,0.9070636034011841
6,3,seal-lex-2,b,0.599064826965332
3,2,seal-lex-2,b,0.3159605860710144
5,3,seal-lex-2,b,0.9012079834938049
2,3,seal-lex-3,a,0.008043721318244934
7,3,seal-lex-3,a,0.9520742893218994
6,3,seal-lex-3,a,0.9270612597465515
3,2,seal-lex-3,a,0.32490089535713196
5,3,seal-lex-3,a,0.9674341678619385
2,3,seal-lex-3,b,0.00451245903968811
7,3,seal-lex-3,b,0.9257567524909973
6,3,seal-lex-3,b,0.6567289233207703
3,2,seal-lex-3,b,0.37269699573516846
5,3,seal-lex-3,b,0.8737156391143799
2,3,bark-lex-2,a,0.025621961802244186
7,3,bark-lex-2,a,0.870154857635498
6,3,bark-lex-2,a,0.9604796767234802
3,2,bark-lex-2,a,0.5757285356521606
5,3,bark-lex-2,a,0.849746823310852
2,3,bark-lex-2,b,0.009195566177368164
7,3,bark-lex-2,b,0.962066650390625
6,3,bark-lex-2,b,0.8802175521850586
3,2,bark-lex-2,b,0.2766309976577759
5,3,bark-lex-2,b,0.9351876974105835
2,3,crane-lex-0,a,0.004665902815759182
7,3,crane-lex-0,a,0.8564208745956421
6,3,crane-lex-0,a,0.948607325553894
3,2,crane-lex-0,a,0.5648536682128906
5,3,crane-lex-0,a,0.8463632464408875
2,3,crane-lex-0,b,0.007661743555217981
7,3,crane-lex-0,b,0.9378145337104797
6,3,crane-lex-0,b,0.9471859931945801
3,2,crane-lex-0,b,0.5804092884063721
5,3,crane-lex-0,b,0.7881709933280945
2,3,crane-lex-1,a,0.004990840330719948
7,3,crane-lex-1,a,0.8480369448661804
6,3,crane-lex-1,a,0.9327993988990784
3,2,crane-lex-1,a,0.29541218280792236
