head,layer,rank_selection,score_eval_mean,score_eval_n,score_selection_mean,score_selection_n
2,3,1,0.06551093722765262,26,0.0641341874232659,26
7,3,2,0.059899656245341666,26,0.06082126039725084,26
6,3,3,0.045703728611652665,26,0.05711770344239015,26
3,2,4,0.04104838835505339,26,0.04738389757963327,26
5,3,5,0.0372272225526663,26,0.041817720692891344,26
4,3,6,0.03546027638591253,26,0.03937011154798361,26
0,2,7,0.0335786695090624,26,0.03761427219097431,26
0,3,8,0.04897759912105707,26,0.03588383530194943,26
1,3,9,0.026046374096320227,26,0.034890497533174664,26
1,2,10,0.03674844136604896,26,0.033325217091120206,26
6,2,11,0.03262548779065792,26,0.0330596027465967,26
4,2,12,0.02867190769085517,26,0.032761416756189786,26
5,2,13,0.02290807721706537,26,0.03111536858173517,26
4,1,14,0.028079297680121202,26,0.030880325115644015,26
6,1,15,0.03134011577528257,26,0.030205603402394515,26
7,2,16,0.028430136350484993,26,0.029779108097920053,26
2,2,17,0.02298622693006809,26,0.028199377541358654,26
3,3,18,0.02441481500864029,26,0.027826966287998054,26
3,1,19,0.021950087868250333,26,0.023603278713730667,26
5,1,20,0.026004860177636147,26,0.02341568312392785,26
1,1,21,0.02696021445668661,26,0.02301186853303359,26
0,1,22,0.02707965414111431,26,0.01915543698347532,26
7,1,23,0.014627187871015988,26,0.01744184084236622,26
2,1,24,0.017690141040545244,26,0.01598240635715998,26
