head,layer,pair_id,side,target_to_context_mass
7,3,bank-lex-0,a,0.8400049805641174
3,2,bank-lex-0,a,0.17041492462158203
5,3,bank-lex-0,a,0.8872175812721252
2,3,bank-lex-0,a,0.06412926316261292
0,3,bank-lex-0,a,0.9922084808349609
7,3,bank-lex-0,b,0.9098529815673828
3,2,bank-lex-0,b,0.2857016921043396
5,3,bank-lex-0,b,0.8946887850761414
2,3,bank-lex-0,b,0.02651400864124298
0,3,bank-lex-0,b,0.9815090298652649
7,3,bank-lex-3,a,0.9260290861129761
3,2,bank-lex-3,a,0.45935285091400146
5,3,bank-lex-3,a,0.8453818559646606
2,3,bank-lex-3,a,0.02029852196574211
0,3,bank-lex-3,a,0.9884800314903259
7,3,bank-lex-3,b,0.9540372490882874
3,2,bank-lex-3,b,0.4136497676372528
5,3,bank-lex-3,b,0.9316838979721069
2,3,bank-lex-3,b,0.15729615092277527
0,3,bank-lex-3,b,0.9851771593093872
7,3,bat-lex-1,a,0.9550756216049194
3,2,bat-lex-1,a,0.21816326677799225
5,3,bat-lex-1,a,0.9018298983573914
2,3,bat-lex-1,a,0.015906227752566338
0,3,bat-lex-1,a,0.9693942070007324
7,3,bat-lex-1,b,0.9305570125579834
3,2,bat-lex-1,b,0.16501784324645996
5,3,bat-lex-1,b,0.9588274955749512
2,3,bat-lex-1,b,0.24026362597942352
0,3,bat-lex-1,b,0.9837560653686523
7,3,bat-lex-2,a,0.94407057762146
3,2,bat-lex-2,a,0.1963268220424652
5,3,bat-lex-2,a,0.9704763293266296
2,3,bat-lex-2,a,0.025003502145409584
0,3,bat-lex-2,a,0.9820953011512756
7,3,bat-lex-2,b,0.8708773851394653
3,2,bat-lex-2,b,0.1416841298341751
5,3,bat-lex-2,b,0.9482582807540894
2,3,bat-lex-2,b,0.09024938941001892
0,3,bat-lex-2,b,0.9585484266281128
7,3,spring-lex-0,a,0.8927320837974548
3,2,spring-lex-0,a,0.1669323593378067
5,3,spring-lex-0,a,0.9627509117126465
2,3,spring-lex-0,a,0.03323330730199814
0,3,spring-lex-0,a,0.9510813355445862
7,3,spring-lex-0,b,0.9625406265258789
3,2,spring-lex-0,b,0.15626314282417297
5,3,spring-lex-0,b,0.9375113844871521
2,3,spring-lex-0,b,0.1839008629322052
0,3,spring-lex-0,b,0.9444253444671631
7,3,spring-lex-1,a,0.9574841260910034
3,2,spring-lex-1,a,0.06838605552911758
5,3,spring-lex-1,a,0.9210601449012756
2,3,spring-lex-1,a,0.003179928520694375
0,3,spring-lex-1,a,0.9066733121871948
7,3,spring-lex-1,b,0.948312520980835
3,2,spring-lex-1,b,0.2435382604598999
5,3,spring-lex-1,b,0.8844736814498901
2,3,spring-lex-1,b,0.14110469818115234
0,3,spring-lex-1,b,0.94548100233078
7,3,spring-lex-3,a,0.9530794620513916
3,2,spring-lex-3,a,0.07352519035339355
5,3,spring-lex-3,a,0.9313814043998718
2,3,spring-lex-3,a,0.016590941697359085
0,3,spring-lex-3,a,0.8937016129493713
