head,layer,rank_selection,score_eval_mean,score_eval_n,score_selection_mean,score_selection_n
7,3,1,0.06266234356623429,26,0.06351169313375767,26
3,2,2,0.04193299722213011,26,0.04939007443877367,26
5,3,3,0.04061968997120857,26,0.04572309037813774,26
2,3,4,0.0420019724048101,26,0.04416382140838183,26
0,3,5,0.024343530719096843,26,0.039500124752521515,26
0,2,6,0.036496843569553815,26,0.03417038802917187,26
1,2,7,0.029583892713372525,26,0.0337941709619302,26
6,3,8,0.038885171023698956,26,0.0334858401463582,26
7,2,9,0.029723557715232555,26,0.029865578963206366,26
6,2,10,0.0348093813428512,26,0.028955691708968237,26
4,2,11,0.02284193468781618,26,0.027235280722379684,26
0,1,12,0.029256862230025805,26,0.02644970153386776,26
1,1,13,0.025548152052439176,26,0.02635606091756087,26
2,2,14,0.02556081717977157,26,0.02526107946267495,26
2,1,15,0.019612385103335746,26,0.023865993349598005,26
4,1,16,0.018805840267584875,26,0.023743190444432773,26
3,1,17,0.01623499536743531,26,0.022371963526193913,26
3,3,18,0.019492449668737557,26,0.02182110198415243,26
5,1,19,0.03144138019818526,26,0.021784597004835423,26
6,1,20,0.02445933323066968,26,0.02143637377482194,26
1,3,21,0.013936978120070238,26,0.020232006907463074,26
5,2,22,0.03196566150738643,26,0.019481239983668693,26
4,3,23,0.014529980432528716,26,0.01748357885158979,26
7,1,24,0.015985898673534393,26,0.01585710120315735,26
